id,name,mpn,slug_cu,name_slug,mpn_slug,slug_moi
bd6d3430-889f-491a-a94a-f2dc7f98138f,Máy lạnh giấu trần nối ống gió 5.5HP Daikin inverter ( 3 pha ),FBFC140DVM9,55hp-fbfc140dvm9,may-lanh-giau-tran-noi-ong-gio-55hp-daikin-inverter-3-pha,fbfc140dvm9,may-lanh-giau-tran-noi-ong-gio-55hp-daikin-inverter-3-pha-fbfc140dvm9
2aeaeb34-b939-4e3f-8ba2-8f2099508a2c,Máy lạnh giấu trần nối ống gió 5HP Daikin inverter ( 1 pha ),FBA125BVMA9,5hp-fba125bvma9-1,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-1-pha,fba125bvma9,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-1-pha-fba125bvma9
62b8a5ef-1c1d-4e66-8967-1b3177bcb117,Máy lạnh giấu trần nối ống gió 5HP Daikin inverter ( 3 pha ),FBA125BVMA9,50hp-fba125bvma9,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-3-pha,fba125bvma9,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-3-pha-fba125bvma9
938a55c3-f749-49f5-af74-e7fd8f91bad1,Máy lạnh giấu trần nối ống gió 5HP Daikin inverter ( 3 pha ),"FBFC125DVM9 ",5hp-fbfc125dvm9,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-3-pha,fbfc125dvm9,may-lanh-giau-tran-noi-ong-gio-5hp-daikin-inverter-3-pha-fbfc125dvm9
0bf9f4f1-ca83-45d1-8d72-5a19f26ab5c9,Máy lạnh giấu trần nối ống gió 6HP Daikin inverter ( 1 pha ),FBA140BVMA9,60hp-fba140bvma9,may-lanh-giau-tran-noi-ong-gio-6hp-daikin-inverter-1-pha,fba140bvma9,may-lanh-giau-tran-noi-ong-gio-6hp-daikin-inverter-1-pha-fba140bvma9
7b4b0338-cd6a-472a-bba3-7836c092631f,Máy lạnh giấu trần nối ống gió 6HP Daikin inverter ( 3 pha ),"FBA140BVMA9 ",6hp-fba140bvma9-1,may-lanh-giau-tran-noi-ong-gio-6hp-daikin-inverter-3-pha,fba140bvma9,may-lanh-giau-tran-noi-ong-gio-6hp-daikin-inverter-3-pha-fba140bvma9
eb36bf14-c916-431a-9049-d5d367652a9f,Máy lạnh LG Inverter 1.5Hp ( 1 pha ),IDC12M1,15hp-idc12m1,may-lanh-lg-inverter-15hp-1-pha,idc12m1,may-lanh-lg-inverter-15hp-1-pha-idc12m1
655996d4-ac20-40b9-a120-88c8aedd3f81,Máy lạnh LG Inverter 1.5Hp ( 1 pha ),IDH12M1,15hp-idh12m1,may-lanh-lg-inverter-15hp-1-pha,idh12m1,may-lanh-lg-inverter-15hp-1-pha-idh12m1
6617bf93-61f2-4505-b727-f490e5ae1cac,Máy lạnh LG Inverter 1.5Hp ( 1 pha ),IEC12G2,15hp-iec12g2,may-lanh-lg-inverter-15hp-1-pha,iec12g2,may-lanh-lg-inverter-15hp-1-pha-iec12g2
933a8f06-5932-4d33-a6ef-2719708f656f,Máy lạnh LG Inverter 1.5Hp ( 1 pha ),IPC12M1,15hp-ipc12m1,may-lanh-lg-inverter-15hp-1-pha,ipc12m1,may-lanh-lg-inverter-15hp-1-pha-ipc12m1
